"customer_id","customer_name","clv"
20,"Emma","1201"
14,"Lucas","789"
3,"Olivia","236"
23,"kiwi","777"
22,"Elijah","1057"
27,"Blue","543"
11,"matt","1062"
25,"april","321"
16,"Zoe","270"
7,"jhon","7"
2,"emma","1097"
31,"logan","835"
10,"jennie","102"
28,"Mia","1486"
18,"James","555"
12,"luke","987"
21,"jhonny","2246"
13,"ron","363"
19,"Alex","1711"
30,"Benjamin","848"
17,"harry","1297"
26,"William","1294"
5,"mike","1250"
15,"Alexander","504"
24,"Sophia","1665"
29,"scarlett","1569"
9,"kate","75"
